distance,metric,reach,our_eff_n,raw_eps,eps_normalised,vd_estimate,vc_dim,riondato_samples,bader_samples,eppstein_samples,eppstein_local_samples,ratio_riondato,ratio_bader,ratio_eppstein,ratio_eppstein_local
1000,harmonic,185.23077392578125,185.23077392578125,0.8046037554740906,0.0043437909285877156,13,4,167013.23729036452,52998.32840845463,633830.1454602511,276736.2027520927,901.6495140126328,286.12053648110407,3421.8403995559393,1494.0077012417821
1000,betweenness,185.23077392578125,185.23077392578125,1481.4443359375,0.04341202256346666,13,4,1672.124776893664,530.6155338552741,6345.862805614549,2770.6633844881435,9.027251473686846,2.864618673287423,34.259225241682714,14.957899952403698
2000,harmonic,765.051025390625,481.78374025066074,1.026801824569702,0.0013421350870622393,27,5,2027001.9678097095,555146.4151384897,6639238.32365312,3686140.2930651773,4207.285963521948,1152.273040284963,13780.536304938145,7651.026768041955
2000,betweenness,765.051025390625,481.78374025066074,10410.66796875,0.01781007839518372,27,5,11511.050742895875,3152.596127620436,37703.27333245322,20933.05711230059,23.8925679328799,6.543591790748717,78.25767078157742,43.44907343989985
5000,harmonic,5100.15966796875,576.6379699610595,7.393832206726074,0.0014497256337213517,71,7,2213105.000672051,475804.3013954868,5690351.349194718,4061954.2275224044,3837.9453243800485,825.1352255343469,9868.152368771325,7044.201802730245
5000,betweenness,5100.15966796875,576.6379699610595,348074.0,0.01338410085296975,71,7,25965.414188126982,5582.408315228856,66762.4580003842,47657.1712136589,45.028970585964764,9.680958601470238,115.77881006499221,82.64660618321265
10000,harmonic,20394.328125,645.9372190819848,30.011180877685547,0.001471545455861177,142,8,2378859.8183955597,461798.62566982914,5522851.3591186805,4582433.354019053,3682.803449190355,714.9280332942324,8550.136446646991,7094.239530788569
10000,betweenness,20394.328125,645.9372190819848,3098096.0,0.007448989491496929,142,8,92837.0841020769,18022.095088582744,215534.10257506566,178833.46777707853,143.72462425066368,27.900691516423226,333.6765496829332,276.85889974143186
20000,harmonic,69463.453125,707.2144156240228,47.03102111816406,0.0006770613754765602,263,9,12327974.04459751,2181443.26154891,26088832.25758982,24319942.447116546,17431.73466524959,3084.5571206634354,36889.56514633528,34388.35791498598
20000,betweenness,69463.453125,707.2144156240228,22883368.0,0.004742566826587978,263,9,251258.56285416553,44460.37093052441,531720.9848002584,495668.9368304087,355.2791873345274,62.86689008070352,751.8525825454014,700.8750470577536
